Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Vivo Y30,8,MediaTek Helio P35 (MT6765),8,13,8,2,2,None,5000,Android 10,Android,1123200,162.04,76.46,9.11,197,60,6.47,128,Yes,No,No,No,3.5,Yes,13989
Poco M4 Pro,6,MediaTek Helio G96,16,64,8,2,0,None,5000,Android 11,Android,2592000,159.8,73.8,8.08,179.5,90,6.43,64,Yes,No,No,No,-,Yes,12099
iQOO Z6 4G,4,Qualcomm Snapdragon 680,16,50,2,2,0,None,5000,Android 12,Android,2592000,160.8,73.79,8.42,182,60,6.44,128,Yes,No,No,No,3.5,yes,14999
Realme Narzo 30,4,MediaTek Helio G95,16,48,2,2,0,None,5000,Android 11,Android,2592000,162.3,75.4,9.4,192,120,6.5,64,Yes,No,No,No,3.5,Yes,13499
Infinix Hot 20 Play,4,MediaTek Helio G37,8,13,0,0,0,None,6000,Android 12,Android,1180800,171,78,8.9,410,90,6.82,64,Yes,No,No,No,-,Yes,8499
Tecno Spark 8 Pro,4,MediaTek Helio G85,8,48,2,0,0,None,5000,Android 11,Android,2656800,169,76.8,8.77,196,60,6.8,64,Yes,No,No,No,3.5,Yes,15000
Realme C21,3,MediaTek Helio G35,5,13,2,2,0,None,5000,Android 10,Android,1152000,165.2,76.4,8.9,190,60,6.5,32,Yes,No,No,No,3.5,Yes,9499
Lava Yuva 2 Pro,4,MediaTek Helio G37 Octa-core Processor,5,13,0,0,0,None,5000,Android 12,Android,1152000,164.5,76,9,204,-,6.5,64,Yes,No,No,No,3.5,Yes,7999
Poco M2,6,MediaTek Helio G80,8,13,8,5,2,None,5000,Android 10,Android,2527200,163.3,77,9.1,198,120,6.53,64,Yes,No,No,No,3.5,Yes,11999
Infinix Smart 6 HD,2,Unisoc SC9863A,5,8,0,0,0, AI lens,5000,Android 11 (Go edition),Android,1152000,165.6,76.4,9.1,400,60,6.6,32,Yes,No,No,No,3.5,Yes,5999
